 time            vin             i(v1)          
 2.00000000e-05  6.28318529e-04 -4.26480985e-08 
 4.00000000e-05  1.25663705e-03 -8.52961965e-08 
 8.00000000e-05  2.51327402e-03 -1.70592385e-07 
 1.60000000e-04  5.02654740e-03 -3.41184734e-07 
 3.20000000e-04  1.00530897e-02 -6.82369130e-07 
 6.40000000e-04  2.01061388e-02 -1.36473549e-06 
 1.28000000e-03  4.02119525e-02 -2.72944890e-06 
 2.00000000e-03  6.28301994e-02 -4.26469775e-06 
 2.12800000e-03  6.68510998e-02 -4.53762244e-06 
 2.38400000e-03  7.48927681e-02 -5.08346330e-06 
 2.89600000e-03  9.09755027e-02 -6.17510423e-06 
 3.92000000e-03  1.23137981e-01 -8.35818238e-06 
 5.92000000e-03  1.85939401e-01 -1.26209261e-05 
 7.92000000e-03  2.48711460e-01 -1.68816775e-05 
 9.92000000e-03  3.11444243e-01 -2.11397631e-05 
 1.19200000e-02  3.74127847e-01 -2.53945106e-05 
 1.39200000e-02  4.36752371e-01 -2.96452479e-05 
 1.59200000e-02  4.99307926e-01 -3.38913043e-05 
 1.79200000e-02  5.61784636e-01 -3.81320075e-05 
 1.99200000e-02  6.24172633e-01 -4.23666911e-05 
 2.19200000e-02  6.86462065e-01 -4.65946846e-05 
 2.39200000e-02  7.48643098e-01 -5.08153180e-05 
 2.59200000e-02  8.10705911e-01 -5.50279274e-05 
 2.79200000e-02  8.72640704e-01 -5.92318480e-05 
 2.99200000e-02  9.34437698e-01 -6.34264147e-05 
 3.19200000e-02  9.96087132e-01 -6.76109691e-05 
 3.39200000e-02  1.05757927e+00 -7.17848376e-05 
 3.59200000e-02  1.11890441e+00 -7.59473814e-05 
 3.79200000e-02  1.18005286e+00 -8.00979267e-05 
 3.99200000e-02  1.24101496e+00 -8.42358237e-05 
 4.19200000e-02  1.30178110e+00 -8.83604209e-05 
 4.39200000e-02  1.36234167e+00 -9.24710655e-05 
 4.59200000e-02  1.42268710e+00 -9.65671050e-05 
 4.79200000e-02  1.48280788e+00 -1.00647897e-04 
 4.99200000e-02  1.54269451e+00 -1.04712793e-04 
 5.19200000e-02  1.60233753e+00 -1.08761158e-04 
 5.39200000e-02  1.66172752e+00 -1.12792349e-04 
 5.59200000e-02  1.72085510e+00 -1.16805723e-04 
 5.79200000e-02  1.77971094e+00 -1.20800652e-04 
 5.99200000e-02  1.83828575e+00 -1.24776512e-04 
 6.19200000e-02  1.89657027e+00 -1.28732665e-04 
 6.39200000e-02  1.95455529e+00 -1.32668488e-04 
 6.59200000e-02  2.01223167e+00 -1.36583364e-04 
 6.79200000e-02  2.06959030e+00 -1.40476670e-04 
 6.99200000e-02  2.12662211e+00 -1.44347791e-04 
 7.19200000e-02  2.18331811e+00 -1.48196117e-04 
 7.39200000e-02  2.23966933e+00 -1.52013620e-04 
 7.59200000e-02  2.29566688e+00 -1.55792217e-04 
 7.79200000e-02  2.35130192e+00 -1.59519871e-04 
 7.99200000e-02  2.40656567e+00 -1.63187784e-04 
 8.19200000e-02  2.46144939e+00 -1.66798522e-04 
 8.39200000e-02  2.51594441e+00 -1.70350070e-04 
 8.59200000e-02  2.57004214e+00 -1.73840418e-04 
 8.79200000e-02  2.62373404e+00 -1.77267704e-04 
 8.99200000e-02  2.67701161e+00 -1.80630223e-04 
 9.19200000e-02  2.72986645e+00 -1.83926405e-04 
 9.39200000e-02  2.78229022e+00 -1.87154866e-04 
 9.59200000e-02  2.83427462e+00 -1.90314355e-04 
 9.79200000e-02  2.88581147e+00 -1.93403822e-04 
 9.99200000e-02  2.93689261e+00 -1.96422359e-04 
 1.01920000e-01  2.98750998e+00 -1.99369248e-04 
 1.03920000e-01  3.03765559e+00 -2.02243948e-04 
 1.05920000e-01  3.08732152e+00 -2.05046070e-04 
 1.07920000e-01  3.13649992e+00 -2.07775382e-04 
 1.09920000e-01  3.18518304e+00 -2.10431847e-04 
 1.11920000e-01  3.23336317e+00 -2.13012550e-04 
 1.13920000e-01  3.28103272e+00 -2.15514877e-04 
 1.15920000e-01  3.32818416e+00 -2.17939225e-04 
 1.17920000e-01  3.37481004e+00 -2.20285884e-04 
 1.19920000e-01  3.42090300e+00 -2.22555195e-04 
 1.21920000e-01  3.46645576e+00 -2.24747666e-04 
 1.23920000e-01  3.51146112e+00 -2.26863871e-04 
 1.25920000e-01  3.55591198e+00 -2.28904530e-04 
 1.27920000e-01  3.59980133e+00 -2.30870426e-04 
 1.29920000e-01  3.64312222e+00 -2.32762432e-04 
 1.31920000e-01  3.68586782e+00 -2.34581477e-04 
 1.33920000e-01  3.72803139e+00 -2.36328548e-04 
 1.35920000e-01  3.76960625e+00 -2.38004734e-04 
 1.37920000e-01  3.81058584e+00 -2.39611101e-04 
 1.39920000e-01  3.85096371e+00 -2.41148796e-04 
 1.41920000e-01  3.89073346e+00 -2.42618958e-04 
 1.43920000e-01  3.92988881e+00 -2.44022766e-04 
 1.45920000e-01  3.96842360e+00 -2.45363774e-04 
 1.47920000e-01  4.00633172e+00 -2.46644974e-04 
 1.49920000e-01  4.04360720e+00 -2.47869337e-04 
 1.51920000e-01  4.08024414e+00 -2.49040083e-04 
 1.53920000e-01  4.11623677e+00 -2.50159978e-04 
 1.55920000e-01  4.15157939e+00 -2.51232230e-04 
 1.57920000e-01  4.18626643e+00 -2.52257977e-04 
 1.59920000e-01  4.22029241e+00 -2.53238658e-04 
 1.61920000e-01  4.25365196e+00 -2.54175605e-04 
 1.63920000e-01  4.28633981e+00 -2.55070154e-04 
 1.65920000e-01  4.31835080e+00 -2.55923571e-04 
 1.67920000e-01  4.34967986e+00 -2.56737073e-04 
 1.69920000e-01  4.38032207e+00 -2.57511811e-04 
 1.71920000e-01  4.41027257e+00 -2.58248903e-04 
 1.73920000e-01  4.43952663e+00 -2.58949401e-04 
 1.75920000e-01  4.46807965e+00 -2.59614669e-04 
 1.77920000e-01  4.49592710e+00 -2.60245848e-04 
 1.79920000e-01  4.52306459e+00 -2.60843741e-04 
 1.81920000e-01  4.54948784e+00 -2.61409135e-04 
 1.83920000e-01  4.57519267e+00 -2.61942427e-04 
 1.85920000e-01  4.60017503e+00 -2.62444073e-04 
 1.87920000e-01  4.62443096e+00 -2.62914833e-04 
 1.89920000e-01  4.64795664e+00 -2.63355341e-04 
 1.91920000e-01  4.67074836e+00 -2.63766126e-04 
 1.93920000e-01  4.69280251e+00 -2.64147709e-04 
 1.95920000e-01  4.71411562e+00 -2.64500527e-04 
 1.97920000e-01  4.73468431e+00 -2.64825008e-04 
