 time            vin             i(v1)          
 2.00000000e-05  6.28318529e-04 -5.64579849e-08 
 4.00000000e-05  1.25663705e-03 -1.12915967e-07 
 8.00000000e-05  2.51327402e-03 -2.25831926e-07 
 1.60000000e-04  5.02654740e-03 -4.51663792e-07 
 3.20000000e-04  1.00530897e-02 -9.03327138e-07 
 6.40000000e-04  2.01061388e-02 -1.80665061e-06 
 1.28000000e-03  4.02119525e-02 -3.61327200e-06 
 2.00000000e-03  6.28301994e-02 -5.64564992e-06 
 2.12800000e-03  6.68510998e-02 -6.00695060e-06 
 2.38400000e-03  7.48927681e-02 -6.72954028e-06 
 2.89600000e-03  9.09755027e-02 -8.17466515e-06 
 3.92000000e-03  1.23137981e-01 -1.10646464e-05 
 5.92000000e-03  1.85939401e-01 -1.67077100e-05 
 7.92000000e-03  2.48711460e-01 -2.23481359e-05 
 9.92000000e-03  3.11444243e-01 -2.79850325e-05 
 1.19200000e-02  3.74127847e-01 -3.36175093e-05 
 1.39200000e-02  4.36752371e-01 -3.92446792e-05 
 1.59200000e-02  4.99307926e-01 -4.48656507e-05 
 1.79200000e-02  5.61784636e-01 -5.04795374e-05 
 1.99200000e-02  6.24172633e-01 -5.60854542e-05 
 2.19200000e-02  6.86462065e-01 -6.16825107e-05 
 2.39200000e-02  7.48643098e-01 -6.72698308e-05 
 2.59200000e-02  8.10705911e-01 -7.28465270e-05 
 2.79200000e-02  8.72640704e-01 -7.84117212e-05 
 2.99200000e-02  9.34437698e-01 -8.39645284e-05 
 3.19200000e-02  9.96087132e-01 -8.95040800e-05 
 3.39200000e-02  1.05757927e+00 -9.50295001e-05 
 3.59200000e-02  1.11890441e+00 -1.00539909e-04 
 3.79200000e-02  1.18005286e+00 -1.06034446e-04 
 3.99200000e-02  1.24101496e+00 -1.11512236e-04 
 4.19200000e-02  1.30178110e+00 -1.16972415e-04 
 4.39200000e-02  1.36234167e+00 -1.22414130e-04 
 4.59200000e-02  1.42268710e+00 -1.27836505e-04 
 4.79200000e-02  1.48280788e+00 -1.33238704e-04 
 4.99200000e-02  1.54269451e+00 -1.38619854e-04 
 5.19200000e-02  1.60233753e+00 -1.43979122e-04 
 5.39200000e-02  1.66172752e+00 -1.49315648e-04 
 5.59200000e-02  1.72085510e+00 -1.54628592e-04 
